C,FA,FA/Binder,A,CA,Age
405,45,0.1,528,2.25,3
405,45,0.1,528,6.75,28
180,270,0.6,528,2.25,3
315,135,0.3,528,4.5,3
360,90,0.2,528,6.75,7
450,0,0.0,528,2.25,7
450,0,0.0,0,0.0,28
315,135,0.3,528,2.25,90
450,0,0.0,0,0.0,3
315,135,0.3,528,4.5,7
45,405,0.9,528,2.25,28
315,135,0.3,528,6.75,3
405,45,0.1,528,4.5,90
315,135,0.3,528,6.75,28
315,135,0.3,528,4.5,7
405,45,0.1,528,6.75,28
45,405,0.9,528,2.25,3
450,0,0.0,0,0.0,90
450,0,0.0,0,0.0,3
360,90,0.2,528,2.25,7
450,0,0.0,792,0.0,90
450,0,0.0,0,0.0,90
360,90,0.2,528,4.5,90
90,360,0.8,528,2.25,7
315,135,0.3,528,6.75,7
405,45,0.1,528,4.5,28
405,45,0.1,528,4.5,90
225,225,0.5,528,2.25,90
450,0,0.0,264,0.0,3
90,360,0.8,528,2.25,3
360,90,0.2,528,6.75,90
450,0,0.0,1056,0.0,3
450,0,0.0,0,0.0,7
135,315,0.7,528,2.25,7
225,225,0.5,528,2.25,90
135,315,0.7,528,2.25,28
315,135,0.3,528,2.25,28
315,135,0.3,528,2.25,7
270,180,0.4,528,2.25,28
360,90,0.2,528,2.25,7
360,90,0.2,528,4.5,90
405,45,0.1,528,2.25,3
315,135,0.3,528,4.5,90
315,135,0.3,528,4.5,28
225,225,0.5,528,2.25,3
315,135,0.3,528,6.75,90
450,0,0.0,792,0.0,28
405,45,0.1,528,4.5,28
450,0,0.0,528,2.25,90
315,135,0.3,528,2.25,90
450,0,0.0,792,0.0,3
360,90,0.2,528,2.25,28
45,405,0.9,528,2.25,90
315,135,0.3,528,2.25,28
